[2025-07-10 10:33:26,455: INFO: main: logging has been initiated]
[2025-07-10 13:25:29,548: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:26:16,264: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:29:21,425: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:31:44,765: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:32:47,635: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:36:42,529: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:40:32,644: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 13:58:18,749: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 14:00:41,390: INFO: common: successfully config\config.yaml loaded]
[2025-07-10 14:01:51,339: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-10 14:01:51,352: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-10 14:01:51,356: INFO: common: created directory atartifacts]
[2025-07-10 14:06:50,893: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-10 14:06:50,915: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-10 14:06:50,919: INFO: common: created directory atartifacts]
[2025-07-10 14:06:50,934: INFO: common: created directory atartifacts/data_ingestion]
[2025-07-10 14:08:28,579: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-10 14:08:28,593: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-10 14:08:28,603: INFO: common: created directory atartifacts]
[2025-07-10 14:08:28,613: INFO: common: created directory atartifacts/data_ingestion]
[2025-07-10 14:25:33,708: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-10 14:25:33,718: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-10 14:25:33,726: INFO: common: created directory atartifacts]
[2025-07-10 14:25:33,736: INFO: common: created directory atartifacts/data_ingestion]
[2025-07-10 14:26:41,030: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-10 14:26:41,041: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-10 14:26:41,051: INFO: common: created directory atartifacts]
[2025-07-10 14:26:41,055: INFO: common: created directory atartifacts/data_ingestion]
[2025-07-10 14:27:41,116: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-10 14:27:41,126: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-10 14:27:41,129: INFO: common: created directory atartifacts]
[2025-07-10 14:27:41,132: INFO: common: created directory atartifacts/data_ingestion]
[2025-07-10 14:27:48,844: INFO: 500038833: File is downloaded]
[2025-07-12 16:02:49,760: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-12 16:02:49,826: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-12 16:02:49,987: INFO: common: created directory atartifacts]
[2025-07-12 16:02:49,991: INFO: common: created directory atartifacts/data_ingestion]
[2025-07-12 16:03:10,809: INFO: 500038833: File is downloaded]
